report_number,Inspection_Date,evidence collected,permit_acres,affected_acres,est_bonded_limit,est_open_acres,Permit_no.x,Inspector,County,Novo_date,num_viol,NOVO_num,Report Violation,COMAR,history_viol,seriousness_viol,negligence_viol,effect_viol_reclamation,good_faith,assessment_failure,total_assess,day_beyond_deadline,deadline,total_paid,received_date,notes,violation_issued_fy,Date,Permit_no.y,permittee,Status,Sig_vio,impact_type,description,stop_work_order,outcome,penalty_status,quarter_year_resolved
460-160229-FIR,2/29/16,VO,14,8,10,8,SM-12-460,Ron Schartiger,Garrett,2/29/16,1 of 1,460-160229-NOV,Discharge exceeds limits,26.20.21.02,2000,1000,1500,0,0,0,4500,0,3/3/16,0,0,"Today, the results from water samples that were taken on 2/01/16 at Outfall 001 on Permit SM-12-460 were
reviewed. Both Total Suspended Solids and Turbidity were elevated above effluent discharge limits.",2016,2/29/16,SM-12-460,LAOC Corp,NA,yes,e/h,non compliant discharge from outfall 001,no,resolved,10/1/16,2 of 17
461-170130-FIR,1/30/17,A,48,44,44,44,SM-13-461,Murray,Garrett,2/2/17,1 of 1,461-170130-NOV,Discharge exceeds limits,26.20.21.02,0,1000,0,0,-800,0,200,0,3/9/17,200,5/22/17,NA,2017,1/30/17,SM-13-461,Savage Mt. Minerals,NA,yes,e/h,non-compliant discharge,no,resolved,5/19/17,4 of 17
463-150211-FIR,2/11/15,VO,31,20,32,30,SM-13-463,R. Mongold,Garrett,2/11/15,1 of 1,463-150211-NOV,Failure to Sample/Submit,26.20.20.05,0,1000,1000,0,-500,0,1500,0,2/25/15,1500,6/30/15,"During my office review of the required surface water monitoring reports it was discovered that the Operator has not been submitting the quarterly reports for the two surface water monitoring points identified as downstream DAR &amp;
upstream at the Aaron Run Haul Road culvert on Permit #SM-13-463 and noted in the &quot;Special Conditions&quot;
sections of the issued permit. Therefore a Notice of Violation #463-150211-NOV is being issued. It is ordered that you shall immediately sample the two stream sampling points and submit the lab results to the BOM by the 25th of February, 2015.



",2015,2/11/15,SM-13-463,Moran Coal Co.,NA,yes,e/h,reporting monitor rept.,no,resolved,6/31/2015,NA
463-150811-FIR,8/11/15,VO,79,30,32,30,SM-13-463,R. Mongold,Garrett,8/11/15,1 of 1,463-150811-NOV,Tonnage Reports,NA,600,1000,1000,0,-500,0,2100,0,8/18/15,2100,6/30/15,"The operator did not sumbit the Monthly Tonnage Reports for the months of May &amp; June 2015 for Permit SM-13-469. These reports are to be filled out and returned to the Bureau of Mines on or before the 25 th day of each month for the proceeding month, in accordance with the requirements of §15-508(a)(2).",2016,8/11/15,SM-13-463,ARJ Construction,NA,yes,t/p,Tonnage reports,no,resolved,1/19/16,3 of 16
DM113-151019-FIR,10/19/15,VO,35,35,35,35,DM-09-113,Ron Schartiger,Garrett,10/19/15,1 of 1,DM-113-151019-NOV,Discharge exceeds limits,26.20.21.02,1200,0,0,0,-1200,0,0,0,10/19/15,0,0,"Says Office review…..Discusses violations that happened a month before. Office review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.
On September 16, 2015, during an inspection, Dave Bowers notified me that on 9/14/15 the Casselman Mine had
exceeded the 290,000 Gallon Per Day Limit. The exceedence was 900 gallons over the allowable limit.
On September 17, 2015, MER Engineering Manager, Rob Bottegal, notified the Bureau of Mines in writing as
required by their Individual Discharge Permit, Section II. B.2 of the exceedence.
The exceedence that was reported by MER was over the allowable discharge limit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM113-151207-FIR,12/7/15,P,35,35,35,35,DM-09-113,Ron Schartiger,Garrett,12/7/15,1 of 3,DM-113-151207-NOV,Roads,26.20.19.01,2000,500,0,0,-2400,0,100,0,12/11/15,100,5/19/16,"Haul Road was saturated, not properly cleaned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM113-151207-FIR,12/7/15,P,35,35,35,35,DM-09-113,Ron Schartiger,Garrett,12/7/15,2 of 3,DM-113-151207-NOV,Sediment Control Measures,26.20.21.05,2000,500,0,0,-2400,0,100,0,12/11/15,100,5/19/16,Sediment build up in drainage ditch. Water was laiden with coal fines and sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM113-151207-FIR,12/7/15,P,35,35,35,35,DM-09-113,Ron Schartiger,Garrett,12/7/15,3 of 3,DM-113-151207-NOV,Surfacing,26.20.19.05,2000,500,0,0,-2200,0,300,0,12/11/15,300,5/19/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM111-140310-FIR,3/10/14,P,18,18,18,18,DM-00-111,Ron Schartiger,Garrett,3/10/14,1 of 2,DM111-140310-NOV,Pond Certifications,26.20.21.09,0,500,500,0,-500,0,500,0,3/17/14,500,7/30/14,"The Pond Certifications are required in COMAR 26.20.21.09 C and states that an impoundment shall be inspected
at least annually by a professional engineer or other qualified specialist under the direction of the professional
engineer until removal of the impoundment or release of the performance bond.
As of this date the Annual Report and Pond Certifications have not been submitted to the Bureau therefore
Violation (1 of 2) DM111-140310-NOV will be issued.",2014,3/25/14,DM-00-111,ARJ Construction,A,NA,NA,Ann Report/ Pond Cert Clean Emerg. Spillway,no,resolved,7/28/14,NA
DM111-140310-FIR,3/10/14,P,18,18,18,18,DM-00-111,Ron Schartiger,Garrett,3/10/14,2 of 2,DM111-140310-NOV,Pond Cleaning,26.20.21.08,600,500,500,0,-500,0,1100,0,3/17/14,1100,7/30/14,"Also on this date the emergency spillway on Pond #1 was blocked with pond cleanings and has not been cleaned
as directed on my last inspection report. As per COMAR 26.20.21.08 H (2) Impoundments shall be routinely
maintained during the mining operations in the following areas: (2) Ditches and spillways shall be cleaned;
therefore Violation (2 of 2) DM111-140310-NOV will be issue.",2014,3/25/14,DM-00-111,ARJ Construction,A,NA,NA,Ann Report/ Pond Cert Clean Emerg. Spillway,no,resolved,7/28/14,NA
DM111-140819-FIR,8/19/14,VO,18,18,18,18,DM-00-111,R. Mongold,Garrett,8/19/14,1 of 1,DM111-140819-NOV,Tonnage Reports,26.20.32.02,2000,500,1000,0,-500,0,3000,0,8/26/14,3000,1/23/15,"During an internal office review of the permit it was discovered that the operator has not submitted the required
monthly tonnage report for the month of June 2014. This report was due on July 25, 2014.",2015,8/19/14,DM-01-111,ARJ Construction,NA,yes,t/p,tonnage reports,no,resolved,1/19/15,NA
DM111-150615-FIR,6/15/15,A,18,18,18,18,DM-00-111,R. Mongold,Garrett,6/15/15,1 of 1,DM111-150615-NOV,Failure to Sample/Submit,26.20.20.04,600,1000,1000,0,-500,0,2100,0,6//30/2015,2100,12/29/15,"A review of your water quality and discharge monitoring reports showed non compliance with the following:
As required per the letter from Mr. Alan Hooker, Chief of the Coal Permit Section, Maryland Bureau of Mines dated
April 8, 2015; you were to immediately submit mine pool monitoring data, obtained to date, from the monitoring well
MW-1 which includes mine pool elevations and water quality data. Quality samples were to be obtained during
both April and later during the second quarter of 2015. Pool monitoring and water quality data was to be reported
to the Bureau electronically as soon as practical after results were obtained, and on the paper Monitoring Report
form provided by the Bureau and submitted quarterly with the other Water Monitoring Reports for this permit.",2015,6/15/15,DM-01-111,ARJ Construction,NA,yes,t/p,Non comp qtly monitoring,no,resolved,12/15/15,2 of 16
DM111-150811-FIR,8/11/15,VO,18,18,18,18,DM-00-111,R. Mongold,Garrett,8/11/15,1 of 1,DM111-150811-NOV,Tonnage Reports,NA,1500,1000,1500,0,0,0,4000,0,8/18/15,4000,2/3/16,"NOVO For tonnage, but inspector finds other things too...The belt structure has been moved from the pond embankment but the wood debris has not been removed yet.
Seed &amp; mulch any disturbances to the pond embankment.
During a office review BOM personel found that the Operator did not submit the Monthly Tonnage Reports for the
months of May &amp; June 2015 for Permit DM-00-111.
These reports are to be filled out and returned to the Bureau of Mines on or before the 25th day of each month, for
the procedding month, in accordance with the requirements mining law: MDE Article 15-615(a).
Therefore, NOTICE OF VIOLATION and ORDER DM111-150811-NOV is being issued.
Please submit the Monthly Tonnage Reports for the months of May &amp; June 2015 for Permit DM-00-111 as soon as
possible but by no later than August 18, 2015.",2016,8/11/15,DM-00-111,ARJ Construction,NA,yes,t/p,tonnage reports,no,resolved,1/15/16,3 of 16
DM111-151103-FIR,11/3/15,A,18,18,18,18,DM-00-111,R. Mongold,Garrett,11/3/15,1 of 2,DM111-151103-NOV,Discharge exceeds limits,26.20.21.02,1250,750,0,0,-1000,0,1000,0,11/30/15,1000,7/18/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM111-151103-FIR,11/3/15,A,18,18,18,18,DM-00-111,R. Mongold,Garrett,11/3/15,2 of 2,DM111-151103-NOV,Failure to comply,Discharge Permit,1250,0,0,0,-1000,0,250,0,11/30/15,250,7/18/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM111-161212-FIR,12/12/16,P,18,18,18,18,DM-00-111,R. Mongold,Garrett,12/12/16,1 of 1,DM111-161212-NOV,Haul Road,26.20.19.01,0,500,1000,0,-1000,0,500,0,11/30/15,500,6/6/17,"This Inspector was scheduled off on that particular day and not scheduled to return to work until 12/12/2016 so,
BOM Inspector Supervisor Tom Murray instructed BOM Inspector Ron Schartiger to investigate the complaint.
Inspector Schartiger did go to the site and took pictures of the area that was in question (see the photo&#39;s below).
Inspector Schartiger called me and advised me that the site was in violation due to material being tracked outside
the approved permit area and onto the county road. I in turn called the mine office and directed them to
immediately clean the haul road.",2017,12/12/16,DM-00-111,ARJ Construction,NA,yes,e/h,solids off permit haulroad,no,resolved,5/31/17,4 of 17
DM113-150609-FIR,6/9/15,VO,35,35,35,35,DM-09-113,Murray,Garrett,6/9/15,1 of 1,DM113-150609-NOV,Discharge exceeds limits,26.20.21.02,0,500,0,0,-500,0,0,0,6/9/15,0,0,"Dischages were found, corrected in follow up inspection the following day, according to documents",2015,6/9/15,DM-09-113,Maryland Energy Resources,NA,no,t/p,exceeded flow limits,no,resolved,#NAME?,NA
DM113-150820-FIR,8/20/15,VO,35,35,35,35,DM-09-113,Ron Schartiger,Garrett,8/20/15,1 of 1,DM113-150820-NOV,Discharge exceeds limits,26.20.21.02,600,500,1250,NA,-500,0,1850,0,8/31/15,850,2/3/16,"After receiving the lab results, the Operator is in violation of the Total Suspended Solids. According to the lab results your TSS was recorded as 55. Daily Allowed Maximum Limits is 45…Ended up paying 850, though fined 1850",2016,8/20/15,DM-09-113,Maryland Energy Resources,NA,yes,e/h,exceeded tss,no,resolved, ,3 of 16
