,county,inspector,siteName,Permittee,reportNumber,permit,date,sitecondition,sitestatus,EvidenceCollected,Compliance,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,comments
1248,Garrett,MURPHY,Duckworth Mine,"G & S Coal Company, Inc",454-10728-FIR,SM-07-454,7/28/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,Yes,Yes,pumping,Yes,Yes,Yes,Yes,Contemporaneous?,Yes,12/10/16,Yes,Yes,Yes,Yes,Yes,12/10/16,"Inspection today with Tom Murray and  Joe Montrella [OSM] present for follow up inspection. Water in the Backerstown pond [P-1] has a pH of 8.2 with no discharge.  The pit water has been pumped down and the pit floor treated as per enforcement conference discussions. There is a dozer spreading cover on the Harlem today. On 7-19-16 Mark Carney and I were on site to review acreage eligible for bond release. Eighteen acres eligible for phase two release,as per planting report #2, did not meet permit requirements due to gully erosion.  Eight acres eligible for phase two release, as per planting report #3 will be reviewed by the LRC in August.     "
1474,Garrett,MURRAY,Macgruder Mine,"Savage Mountain Minerals, Inc.",461-160728-FIR,SM-13-461,7/28/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,9/30/16,Yes,Yes,Yes,Yes,Yes,Yes,"Conducted an OSM Oversight this inspection with Joe Montrella and two other OSM Personnel's and Jim Clark the Operator. We evaluated the permit area and drainage facilities as per the approved Coal Mining Permit.  There were no discharges observed this date.  All drainage facilities and ponds appear operational at time of the inspection. Removing overburden and backfilling this date, according to the approved Coal Mining Permit. Discussed the handling plan as per placing lime in the pit area once coal had been removed and pit floor had been cleaned. Reviewed the blast log from the last shot which was on July 13th. The Operator is hauling coal this date also.      "
790,Garrett,SCHARTIGER,Beechwood Mine,Vindex Energy Corp.,SM-02-442-160728-FIR,SM-02-442,7/28/16,C,I,VO,no answer given,Yes,trimmed,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The Haul Road is becoming overgrown and needs the vegetation cut back from the road way. The permit is inaccessible due to brush and downed trees.  Vindex Energy has until August 15, 2016 to cut, trim and remove all brush and down trees from the Haul Road and Permit Sign area to allow access to Pond #1 and to ensure the visibility of the permit sign.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
405,Allegany,MONGOLD,Carlos Mine,"Beechwod Coal, LLC",393-160727-FIR,SM-84-393,7/27/16,C,A,VO,no answer given,Yes,02/02/2017.,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,11/23/16,Yes,Yes,N/A,N/A,N/A,6/6/17, A review of Planting Report #5 today for the eligibility of Phase III on 39 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 02/02/2017. If you have any questions contact Mr. Carney at 301-689-1464.  I spoke to the Contract Operator Jason Svonavec and warned him about keeping water on the main haul road and the interior roads to control fugitive dust to avoid a violation.    
353,Allegany,MONGOLD,Barton North Mine,Arch Coal / Vindex Energy Corp.,427-160726-FIR,SM-96-427,7/26/16,C,C,VO,no answer given,Yes,02/14/2017.,N/A,N/A,N/A,N/A,Yes,Yes,No,10/31/2016.,No,Yes,No,Yes,Yes,No,.,N/A,N/A,N/A,N/A,&,No,7/31/16,Yes,Yes,N/A,N/A,N/A,N/A,   A review of Planting Report #5 today for the eligibility of Phase III on 11 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 10/31/2016. If you have any questions contact Mr. Carney at 301-689-1464.     Also a review of Planting Report #6 today for the eligibility of Phase III on 12 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 02/14/2017. If you have any questions contact Mr. Carney at 301-689-1464.    And a review of Planting Report #7 for the eligibility of Phase II on 56 acres with BOM Revegetation Specialist Mark Carney.  This area does not meet the standards for revegetation success as per the requirements due to bare and weak areas and will not be inspected by the LRC in August of this year.       
490,Allegany,MONGOLD,Jackson Mountain Mine,Arch Coal / Vindex Energy Corp.,432-160726-FIR,SM-99-432,7/26/16,C,A,VO,no answer given,Yes,02/02/2017.,Yes,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,site.,N/A,N/A,Yes,Yes,Yes,7/31/16,Yes,Yes,N/A,N/A,N/A,N/A,  A review of Planting Report #9 today for the eligibility of Phase II on 21 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements and will be inspected by the LRC in August of this year.  Also review of Planting Report #5 today for the eligibility of Phase III on 18 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 02/02/2017. If you have any questions contact Mr. Carney at 301-689-1464.     
2043,Garrett,SCHARTIGER,Bakerstown No. 1 Mine,Backbone Mountain LLC,DM-112-160726-FIR,DM-03-112,7/26/16,C,I,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,pH-7.2,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The mine is in Inactive Status.  The pit pump does not apear to be working today. The operator will need to pump the water from the pit and ensure the pit pump is in working order and float switches are functioning properly.  Pond #14 is discharging, pH-7.2 Specific Conductance-230, 78 degrees.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
614,Allegany,MURPHY,Watertank Pittsburg Mine,"Cobra Mining, Inc.",437-160726-FIR,SM-01-437,7/26/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,needed,Yes,Yes,Yes,Yes,Yes,Yes,5/27/17,Yes,Yes,Yes,N/A,Yes,10/27/16,No discharge today. Pond levels are  low.   Mining and backfilling in progress.  DMR's are current and appear in good order.     
1634,Garrett,MONGOLD,Messenger/Harlem Mine,"G & S Coal Company, Inc",455-160726-FIR,SM-08-455,7/26/16,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,12/10/16,Yes,Yes,N/A,N/A,N/A,12/31/16," This site is approved for ""Temporary Cessation of Mining Activities"" from 5/15/2015 to 8/15/2016.  A review of Planting Report #1 for the elgibility of Phase II on 10 acres with BOM Revegetation Specialist Mark Carney.  This area does not meet the standards for revegetation success as per the requirements due to the rills and a highwall slump that needs repaired. Therefore, this area will not be inspected by the LRC in August of this year.       "
716,Allegany,MONGOLD,Miller Road Mine,"G & S Coal Company, Inc",440-160726-FIR,SM-01-440,7/26/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,10/31/2016.,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,N/A,N/A,N/A,12/31/16, A review of Planting Report #4 for the eligibility of Phase III on 3 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 10/31/2016. If you have any questions contact Mr. Carney at 301-689-1464.   
1422,Ga,SCHARTIGER,Underwood Mine,Laoc Corp.,460-160726-FIR,SM-12-460,7/26/16,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Suspended,N/A,N/A,N/A,Yes,Yes,week,Yes,Yes,N/A,Yes,Yes,Yes,Yes,"On site review today with Jeff Messenger for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The operator is in the process of complete reclamation on this site. All backfilling is complete and final grades are being set at the time of this inspection. Lime, fertilizer and mulch hay are on site and seeding and mulching is scheduled to be completed tomorrow.  No Issues Noted.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
184,Allegany,MURPHY,Harvey Mine,"Ritchie Trucking & Excavating, Inc.",407-160726-FIR,SM-86-407,7/26/16,C,C,VO,no answer given,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/23/16,N/A,N/A,N/A,Yes,N/A,N/A,This site is in good condition.This site is revegated and in the late stages of bond release [phase 2 & 3.  No problems observed.             
1059,Garrett,MONGOLD,Russell Farm,"Savage Mountain Minerals, Inc.",448-160726-FIR,SM-05-448,7/26/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,9/30/16,Yes,Yes,N/A,N/A,N/A,12/31/16,  A review of Planting Report #1 today for the eligibility of Phase III on 10 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 1/17/2017. If you have any questions contact Mr. Carney at 301-689-1464.     
909,Garrett,MONGOLD,Crawford Farm,Tri Star Mining Inc.,444-160726-FIR,SM-03-444,7/26/16,C,C,VO,no answer given,Yes,Yes,03/20/2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,complete.,Yes,11/1/16,N/A,N/A,N/A,N/A,N/A,N/A,  A review of Planting Report #7 today for the eligibility of Phase III on 13 acres with BOM Revegetation Specialist Mark Carney.  This area does meet the standards for revegetation success as per the requirements.  Therefore you may apply for Phase III Bond Release on this area which will be eligible on 03/20/2017. If you have any questions contact Mr. Carney at 301-689-1464.    
1305,Garrett,SCHARTIGER,Table Rock Mine,WPO Inc.,452-160726-FIR,SM-06-452,7/26/16,N,R,VO,no answer given,Yes,Yes,No,No,No,N/A,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Pond #1 and #2 have water but no discharge.  The permit has been revoked. Bond Forfeiture is in process.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
1973,Allegany,MONGOLD,Frostburg Loadout,Arch Coal / Vindex Energy Corp.,SC118-160725-FIR,SC-87-118,7/25/16,C,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,7/31/16,Yes,Yes,Yes,Yes,Yes,N/A," This site has a ""Temporary Cessation of Mining Activities"" good until 6/30/2016.  Drainage and sediment controls are functioning properly. The ponds were not discharging. Water monitoring reports and DMR's are being submitted on time with no violations noted.  No environmental problems or concerns were observed during this inspection.       "
870,Allegany,MURPHY,Hampshire Hill,Not filled out,430-160725-FIR,SM-98-430,7/25/16,no answer given,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,No,No,N/A,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,Yes,N/A,Yes,N/A,"No discharge today, ponds are empty.  No problems observed. DMR's are current and appear in good order.      "
1872,Allegany,MURPHY,Shaft Tipple,"United Energy Coal, Inc.",110-160725-FIR,SC-83-110,7/25/16,no answer given,R,VO,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,This is an AML reclamation project managed by the  Bureau of Mines.  No discharge today.     
33,Allegany,MURPHY,Silt Pit,"Beechwod Coal, LLC",359-160721-FIR,SM-08-359,7/21/16,no answer given,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,YES,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,11/23/16,Yes,Yes,Yes,Yes,Yes,N/A,"No discharge today.  The pond level is low.  DMR's are  current  and appear in good order. Mark Carney present to review 20 acres of phase 2 reveg, as per planting reports # 2&3. This area is eligible for LRC review in August.     "
522,Garrett,MURRAY,Pee Wee Hill Mine,"G & S Coal Company, Inc",435-160721-FIR,SM-00-435,7/21/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/10/16,N/A,N/A,N/A,N/A,N/A,N/A,"On site review of Backfilling and Planting Report # 10 for 14 acres for Phase II review for the LRC review in August.  There are rills in the backfill and placed flags in the perimeter to mark the rills as discussed with Ted Schwinabart on the phone. The LRC will not review in August, repair as weather allows. Also reviewed the Backfilling and Planting Report # 11 for 23 acres for Phase II review for the LRC review in August.  This area appears to be eligible for the LRC review in August.    "
720,Allegany,MONGOLD,Miller Road Mine,"G & S Coal Company, Inc",440-160721-FIR,SM-01-440,7/21/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,N/A,N/A,N/A,12/31/16, Review of the permit with Tri-Star Mining General Mine Foreman Ray Tighe.  Pond #3 was not discharging.  The Contract Operator Tri-Star Mining has completed coal removal of the Franklin Coal Seam as of this date. Begin backfilling operations and continue until reclamation is complete on the entire site.  It is noted that Tri-Star is responsible for reclamation on the area where the Franklin Coal seam was mined. G&S Coal is responsible for reclamation on the remaining disturbed area.     
322,Garrett,MURPHY,Weir-Jones Mine,Pine Mountain Coal Company,424-160721-FIR,SM-95-424,7/21/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,3/22/16,Yes,Yes,Yes,Yes,Yes,10/12/16,Yes,Yes,Yes,Yes,Yes,Yes,"No discharge today. Mark Carney present to review 3 acres eligible for phase 2 bond release as per planting report # 10.  It appears that recent backfilling has redisturbed some of the area on this planting report, making it ineligible for LRC review.  Pull the trees out of the inlet ditch for pond #4. Back blade to road to pond #3. .     "
934,Garrett,MURRAY,Little Pittsburgh Strip,"Savage Mountain Minerals, Inc.",445-160721-FIR,SM-04-445,7/21/16,C,A,A,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,9/30/16,N/A,N/A,N/A,N/A,N/A,N/A,On site review of the Backfilling and Planting Report # 6 for 6 acres of Phase II for LRC review in August with Mark Carney of the Bureau of Mines and Jim Clark the Operator.  Recommend the LRC to review in August.      
1058,Garrett,MONGOLD,Russell Farm,"Savage Mountain Minerals, Inc.",448-160721-FIR,SM-05-448,7/21/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,Yes,Yes,Yes,Yes,9/30/16,Yes,Yes,N/A,N/A,N/A,12/31/16, This was an inspection of the surface coal mine site today.  Pond #4 was not discharging.  The operator was mining on the #2 Franklin coal seam.  No environmental problems or concerns were observed during this inspection.     
245,Garrett,MURRAY,Caledonia Hill Job,Tri Star Mining Inc.,419-160721-FIR,SM-91-419,7/21/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,to,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,11/1/16,Yes,Yes,Yes,Yes,Yes,Yes,"On site review of the permit area with Ray Tighe, foreman for the Operator. Mining on the Eastern Portion of the permit removing overburden on the Red Stone Coal Seam. Also mining on the Western Portion of the permit area removing overburden and hauling coal from the Big Vein Coal Seam. Reviewed and discussed the drainage facilities on the north west portion of the permit. Temporary measures are in place and approved till weather allows the completion of the facilities. See 07, of this FIR. All drainage facilities and ponds appear operational at time of the inspection.  No discharge visible at time of the inspection. Mark Carney of the Bureau of Mines met on site with Ray and me to review Phase II and III areas eligible for Bond Application. Reviewed the Backfilling Planting Report # 24 for 4 acres for Phase II review of the LRC.  It appears the operator will redisturb so we will review at a later date. Reviewed the Backfilling Planting Report # 26 for 17 acres for Phase II review of the LRC. The LRC will review in August. Reviewed the Backfilling Planting Report # 23 for 10 acres for Phase III.  Recommend the Operator to submit for Bond Application for Bond Release of this area.    "
253,Garrett,MURRAY,Caledonia Hill Job,Tri Star Mining Inc.,419-160721-FIR,SM-91-419,7/21/16,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,11/1/16,N/A,N/A,N/A,N/A,N/A,N/A,"On site review of the permit area with Ray Tighe, foreman for the Operator. Review areas for Phase II fir eligibility of Bond Release with the LRC and Mark Carney of the Bureau of Mines, and Ray. Reviewed the Backfilling Planting Report # 26 for 17 acres for Phase II review with the LRC. The area appeared approvable and will be voted on by the LRC in September.     "
1008,Allegany,MURPHY,Commonwealth Mine,"Beechwod Coal, LLC",447-160720-FIR,SM-05-447,7/20/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,blasting,N/A,N/A,Yes,Yes,.,11/23/16,Yes,Yes,Yes,Yes,Yes,N/A,"No discharge today. The reveg most recently planted looks good .  Several weak areas are scheduled for spot treatment.  Mark Carney present today to review 8 acres of phase 3 bond release, as per planting report # 3.  This area appears to meet permit conditions for bond release.   "
329,Allegany,MURPHY,Common Wealth,"Jenkins Development, Inc.",411-160720-FIR,SM-87-411,7/20/16,no answer given,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,.,current?,N/A,N/A,N/A,Yes,N/A,N/A,"This site is revegetated and in the final stages of bond release.  Ten acres of phase 3 bond release, as per planting report # 20, was  approved today by the Bureau of Mines . "
678,Allegany,MONGOLD,Naked Lake/Cabin Run,"Beechwod Coal, LLC",439-160719-FIR,13-SP-1100,7/19/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,seeded.,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,7/31/17,Yes,Yes,Yes,Yes,Yes,2/16/17," This was an OSM oversight inspection conducted with Joe Montrella and Stefaine Miller.  Blasting records are on file at the mine office and were reviewed with no violations noted.  Sediment and drainage control structures are functioning properly. Pond #1 was not discharging. Pond #2 was not discharging. Pond #3 was not discharging. Pond #4 was not discharging. Trap #5 was not discharging. Water quality and DMR's are being submitted on time with no violations noted.  Coal was being processed and loaded onto trucks for shipment.  Mining operations were being conducted on the Sewickly, Redstone and Pittsburg coal seams.  No problems or environmental concerns were observed during this inspection.    "
288,Garrett,MURPHY,Manor Hill Job,"G & S Coal Company, Inc",421-160719-FIR,SM-92-421,7/19/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,Yes,Yes,Yes,N/A,"No discharge today. DMR's are current and appear in good order. The last planting has suffered  storm damage from recent heavy rainfall.  Mark Carney present to review 29 acres eligible for phase two and twenty acres eligible for phase three bond release.  Three acres of phase 2&3, as per planting report #11, were denied due to visible highwall brow and the presence of gullies.  Eight acres of phase 2&3, as per planting report #9, are ready for LRC review in August.  Eighteen acres of phase 2 as per planting report #12 are ready for LRC review in August.  The office received a complaint on 7-8-16 from Clifford  Cooper alleging that water from the 421 haul road had flooded his driveway during recent heavy rainfall. Stormwater is following the haulroad instead of being crowned off into the road ditches and turn outs. We could not determine if a significant amount of haul road runoff went down the drive way.  We suggested to Ted to reclaim the haul road and apply for bond release. Tom and I left the permit and tried to contact Mr Cooper[7-12-16]. No one was home.  We noticed that the driveway was no longer crowned and needed additional turnouts to prevent runoff from concentrating in the wheel tracks.  After speaking to Mr. Cooper by phone, a second visit to his residence was made on 7-19-16.  No one answered the door.          "
1616,Garrett,MURPHY,Steyer Deep Mine,Wolf Run Mining,109-160719-FIR,DM-90-109,7/19/16,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,water,No,N/A,N/A,N/A,Yes,N/A,Yes,7/31/16,Yes,Yes,Yes,Yes,Yes,N/A,. No discharge today. Mark Carney present to review 10 acres of phase 2 bond release as per planting report #10.  This site does not meet permit conditions for bond release.  Your insurance will expire 7-31-16.      
1162,Allegany,MURPHY,Federal Hill Mine,"Beechwod Coal, LLC",451-160718-FIR,SM-06-451,7/18/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,OPA-16-02,Yes,No,No,No,No,No,No,Yes,No,No,No,12/31/16,Yes,Yes,Yes,Yes,Yes,11/23/16,Yes,Yes,Yes,Yes,Yes,12/31/16,No discharge today.   Mining and backfilling in progress. Mark Carney present to review three acres of grass eligible for phase two bond release as per planting report # two.  This area appears to meet permit requirements and will be inspected by the LRC in August.     
683,Allegany,MONGOLD,Naked Lake/Cabin Run,"Beechwod Coal, LLC",439-160718-FIR,13-SP-1100,7/18/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,seeded.,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,7/31/17,Yes,Yes,N/A,N/A,N/A,2/16/17," On 7/15/2016 a complaint was received from Robert Kirkwood, 13500 New Georges Creek Rd., Frostburg, MD. Mr. Kirkwood called and asks if the mining operation could water the roads on the job site more often. He does not want to be contacted back he just wants them to eliminated some of the fugitive dust.  On this date BOM Inspection Supervisor Tom Murray and I visited the site and spoke to Rusty Bush. He did not recall what may have caused the dust problem on that day. On this date the interior haul roads were watered and the fugitive dust was being controlled to a minimum and was in compliance. We did suggest that they put another water truck in service and use it when it is necessary to have two water trucks in order to control the fugitive dust.  No further action is required for this complaint.     "
1080,Allegany,MURPHY,Midlothian Barnes Mine,"Clise Coal Co., Inc.",449-160718-FIR,SM-05-449,7/18/16,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Inspection today with Mark Carney present to review 3 acres eligible for phase three bond release as per planting report # 1. The area appears to meet permit requirements for bond release on 1-10-2017.     
61,Allegany,MURPHY,Barnes Mine,"Fairview Coal Company, Inc.",399-160718-FIR,SM-85-399,7/18/16,no answer given,C,VO,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Inspection today with Mark Carney present to review 5 acres eligible for phase three bond release as per planting report # 9. The area appears to meet permit requirements for bond release on 1-10-2017.     
106,Allegany,SCHARTIGER,Koontz Mine,"Beechwod Coal, LLC",403-160713-FIR,SM-08-403,7/13/16,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,"On site review today with Mark Carney for the purpose of Re-Vegetation Reviews along with inspections and enforcement for the Maryland Bureau of Mines.  The operator has completed some additional seeding and mulching at several locations where the vegetative cover was sparse.  Planting Report #6, Phase II, 13 acres of Grass Land will be scheduled for LRC Fall Review. Planting Report #3, Phase III, 15 acres of Grass Land appears to meet all requirements for Phase III Bond Release.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
144,Allegany,SCHARTIGER,Koontz Mine,"Clise Coal Co., Inc.",404-160713-FIR,SM-86-404,7/13/16,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,be,current?,N/A,N/A,N/A,N/A,N/A,Current?,"On site review today with Mark Carney for the purpose of Re-Vegetation Reviews along with inspections and enforcement for the Maryland Bureau of Mines.  Planting Report #5, Phase III, 4 acres of Grass Land appears to meet all requirements for Phase III Bond Release. Planting Report #7, Phase II, 8 acres of Grasses does not meet the requirements for LRC Review. The LRC will not review Permit SM-86-404 this fall. Several ongoing issues on the permit are listed below;  The Clear Water Diversion, along the permit boundary, will need to be removed. The operator will schedule the removal and reclamation of the area.  There are several rills and washes forming throughout the permit area. The operator will make repairs on all rills and washes, apply the required amounts of lime, fertilizer, seed and mulch.  There are bare areas throughout the permit that need to be addressed. Several notable bare areas are at the old coal yard, along the access road and the last reclaimed high wall. These areas as well as any other bare areas on the permit will have the required amounts of lime, fertilizer, seed and mulch applied.  There is an area at the eastern portion of the permit where the high wall has settled. The operator is required to make all repairs on the settled area and apply the required amounts of lime, fertilizer, seed and mulch.  Any questions, please contact this inspector @ (301)697-0344.   "
528,Garrett,MURRAY,Pee Wee Hill Mine,"G & S Coal Company, Inc",435-160713-FIR,SM-00-435,7/13/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/10/16,N/A,N/A,N/A,N/A,N/A,N/A,"On site review of the permit area with Tim Schwinabart the Operator, John Carey the Director for the Bureau of Mines and Al Hooker and Jeff Snyder of the Permitting Section for the Bureau of Mines. Reviewed Pond 003 area and recommended for Tim to sample a few areas. After the meeting reviewed the permit area with Ted Schwinabart the Operator and discussed maintenance on washes and rills.  It appears due to recent heavy rains the area has quite a few washes and rills.  The Operator will repair existing washes and rills right away as discussed and will monitor after heavy rain falls for any additional repairs.  If the Operator repairs washes and rills and if he is unable to seed and mulch immediately then he can notify the inspector and for whatever reason, scheduling or weather work out with the inspector.  While prior to seeding and mulching monitor and repair as needed.  The washes and rills will not continue not being addressed due to sediment run off and COMAR. Removing overburden on Increment II on the Elklick Coal Seam and on Increment IV of the Harlem Coal Seam. Backfilling on Increment I of the Elklick Coal Seam and Increment IV of the Bakerstown Coal Seam. If there are any questions feel free to contact this inspector.    "
